id,Level,Color,PV,Black,Blue,Green,Red,White
card_1,2,Green,1,0,1,0,0,2
card_2,2,Green,1,0,0,0,3,0
card_3,2,Green,1,1,1,0,1,1
card_4,2,Green,1,0,2,0,2,0
card_5,2,Green,1,4,0,0,0,0
card_6,2,Green,1,2,1,0,1,1
card_7,2,Green,1,2,1,0,2,0
card_8,2,Green,1,0,3,1,0,1
card_9,2,White,2,0,0,0,5,0
card_10,2,White,1,2,0,3,2,0
card_11,2,White,2,2,0,1,4,0
card_12,2,White,2,0,3,0,3,2
card_13,2,White,2,3,0,0,5,0
card_14,2,White,3,0,0,0,0,6
card_15,2,Blue,2,0,5,0,0,0
card_16,2,Blue,3,0,6,0,0,0
card_17,2,Red,2,5,0,0,0,3
card_18,2,Red,1,3,3,0,2,0
card_19,2,Red,2,0,4,2,0,1
card_20,2,Red,1,3,0,0,2,2
card_21,2,Red,3,0,0,0,6,0
card_22,2,Red,2,5,0,0,0,0
card_23,2,Green,2,1,2,0,0,4
card_24,2,Green,2,0,5,3,0,0
card_25,2,Green,1,0,0,2,2,3
card_26,2,Green,1,2,3,0,0,2
card_27,2,Green,3,0,0,6,0,0
card_28,2,Green,2,0,0,5,0,0
card_29,2,Blue,1,3,2,3,0,0
card_30,2,Blue,2,4,0,0,1,2
